AUD,CAD,CHF,CZK,DKK,EUR,GBP,HKD,HUF,JPY,KRW,NOK,NZD,PLN,SEK,SGD,ZAR,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1.596,1.5215,1.4579,34.616,6.777,0.91191,0.6149899999999999,7.7488,231.45,118.71,1226.9,7.7877,1.9006,3.9276,8.1871,1.7252,6.255,,,,,,,,,,,,,,,,,
1.5854,1.5191,1.4507,34.499,6.7491,0.9081,0.61388,7.7487,231.2,117.85,1224.8,7.6998,1.8817,3.9139,8.1166,1.7237,6.2388,,,,,,,,,,,,,,,,,
1.5864,1.5156,1.4646,34.766,6.8085,0.91617,0.61457,7.7499,232.38,117.26,1215.2,7.7429999999999986,1.8801,3.9054,8.1878,1.724,6.2217,,,,,,,,,,,,,,,,,
1.5808,1.5119999999999998,1.4696,35.109,6.8407,0.92047,0.6146,7.7499,233.11,117.82,1222.8,7.7729,1.876,3.9401,8.2221,1.7273,6.1722,,,,,,,,,,,,,,,,,
1.5642,1.5065,1.4634,35.153,6.8204,0.91777,0.61546,7.7477,233.22,118.34,1225.0,7.7492,1.8558,3.9361,8.1975,1.733,6.1968,,,,,,,,,,,,,,,,,
1.5642,1.5071,1.4557,35.30699999999999,6.8003,0.91508,0.6088,7.7501,234.36,117.68,1223.3,7.7306,1.8577,3.9825,8.2078,1.7249,6.215,,,,,,,,,,,,,,,,,
1.5693,1.5114,1.463,35.28800000000001,6.8191,0.9176,0.6118600000000001,7.7419,234.22,118.05,1222.6,7.7661,1.8654,3.9608,8.2648,1.7258,6.2221,,,,,,,,,,,,,,,,,
1.5717,1.5054,1.4762,35.465,6.8718,0.92464,0.6148899999999999,7.7427,234.77,119.21,1221.7,7.7448,1.862,3.954,8.2755,1.7304,6.2025,,,,,,,,,,,,,,,,,
1.581,1.5137,1.4911,36.046,6.9506,0.93528,0.61869,7.7486,237.52,120.45,1225.0,7.8222,1.8774,3.999,8.3754,1.7337,6.2475,,,,,,,,,,,,,,,,,
1.5874,1.5146,1.4897,35.88800000000001,6.9384,0.93362,0.61974,7.7536,237.97,120.31,1225.4,7.8037,1.8772,3.9754,8.3582,1.7344,6.223,,,,,,,,,,,,,,,,,
1.5882,1.5091,1.4877,35.741,6.9184,0.93093,0.62028,7.7477,237.22,118.98,1226.9,7.7709,1.8845,3.998,8.2731,1.7263,6.19,,,,,,,,,,,,,,,,,
1.5715,1.5044,1.4813,35.72400000000001,6.899,0.92833,0.62105,7.7689,236.18,119.49,1226.9,7.7446,1.8667,4.0271,8.2519,1.7333,6.1735,,,,,,,,,,,,,,,,,
1.5774,1.5004,1.4828,35.687,6.8991,0.92833,0.62384,7.7508,235.77,120.54,1225.0,7.7479,1.8756,4.0382,8.2446,1.7318,6.1652,,,,,,,,,,,,,,,,,
1.577,1.497,1.4851,35.795,6.9111,0.93006,0.62333,7.7509,235.58,121.42,1226.6,7.7665,1.8739,4.0265,8.2632,1.7336,6.17,,,,,,,,,,,,,,,,,
1.5908,1.5048,1.487,35.756,6.9282,0.93231,0.63015,7.7536,236.02,121.19,1224.0,7.7704,1.8891,4.0223,8.2701,1.7344,6.2175,,,,,,,,,,,,,,,,,
1.592,1.5026,1.4754,35.33,6.8732,0.9249,0.62634,7.7494,235.04,121.41,1222.3,7.74,1.8813,3.9821,8.2584,1.7356,6.175,,,,,,,,,,,,,,,,,
1.6014,1.4989,1.4751,35.185,6.8702,0.92439,0.6222,7.7481,234.36,120.59,1223.1,7.7745,1.8841,3.9682,8.2862,1.7302,6.2325,,,,,,,,,,,,,,,,,
1.5923,1.5032,1.4815,35.29,6.8958,0.92782,0.6238600000000001,7.7468,235.04,121.31,1222.9,7.8048,1.8753,3.982,8.2984,1.7336,6.1878,,,,,,,,,,,,,,,,,
1.5741,1.4982,1.4751,35.09,6.8405,0.92022,0.61866,7.7535,234.49,119.88,1223.3,7.7342,1.8442,3.9641,8.3004,1.7226,6.1709,,,,,,,,,,,,,,,,,
1.5718,1.4908,1.4893,35.444,6.9052,0.92894,0.61969,7.7501,235.66,120.45,1221.6,7.7701,1.8463,3.9966,8.3209,1.7172,6.2212,,,,,,,,,,,,,,,,,
1.5654,1.4928,1.4881,35.228,6.8908,0.92704,0.61806,7.7512,235.16,119.17,1215.4,7.7325,1.8389,3.9775,8.2859,1.6948,6.0975,,,,,,,,,,,,,,,,,
1.5744,1.494,1.4866,34.962,6.8916,0.92713,0.61951,7.7487,235.17,118.68,1214.8,7.7369,1.8508,3.9738,8.2783,1.6909,6.09,,,,,,,,,,,,,,,,,
1.55,1.4858,1.5023,35.547,6.9678,0.93738,0.6217699999999999,7.7531,236.86,118.26,1216.7,7.7686,1.8408,4.0156,8.3263,1.707,6.1296,,,,,,,,,,,,,,,,,
1.5349,1.4817,1.5057,35.488,6.9885,0.9402,0.61922,7.7467,236.48,118.16,1207.4,7.7741,1.8182,4.0106,8.3518,1.7049,6.0745,,,,,,,,,,,,,,,,,
1.538,1.4865,1.5067,35.536,6.9818,0.93932,0.61892,7.7394,236.02,117.87,1206.3,7.7733,1.8159,4.0085,8.359,1.7033,6.0688,,,,,,,,,,,,,,,,,
1.5444,1.4902,1.5114,35.705,7.0212,0.94464,0.6228,7.747999999999998,236.36,119.27,1188.2,7.798999999999999,1.8286,4.0168,8.4121,1.7115,6.0825,,,,,,,,,,,,,,,,,
1.5467,1.4866,1.5131,35.802,7.0246,0.94509,0.62234,7.7516,235.79,119.98,1193.4,7.8107,1.8327,4.03,8.4198,1.71,6.0825,,,,,,,,,,,,,,,,,
1.5288,1.4787,1.5068,35.583,6.9903,0.94038,0.61905,7.7491,236.6,119.66,1189.9,7.7831,1.8154,4.0068,8.3642,1.7103,6.1089,,,,,,,,,,,,,,,,,
1.5403,1.4784,1.51,35.529,7.0035,0.94215,0.6189,7.7473,236.2,118.92,1184.7,7.7886,1.8238,3.9926,8.38,1.7002,6.075,,,,,,,,,,,,,,,,,
1.5455,1.4811,1.5096,35.45,6.994,0.94073,0.61966,7.7534,235.88,119.79,1180.2,7.786,1.8272,3.9941,8.3754,1.7008,6.0643,,,,,,,,,,,,,,,,,
1.5305,1.4743,1.5083,35.446,6.9694,0.93756,0.61719,7.7485,235.58,119.12,1178.7,7.778,1.8159,3.9867,8.3565,1.696,6.0681,,,,,,,,,,,,,,,,,
1.5205,1.4718,1.5157,35.545,7.0096,0.94304,0.6209,7.7502,236.31,118.97,1176.0,7.7985,1.7977,3.9841,8.4034,1.6972,6.0625,,,,,,,,,,,,,,,,,
1.5172,1.4645,1.5205,35.522,7.0136,0.94366,0.62008,7.7498,236.41,119.75,1187.5,7.7866,1.7894,3.9523,8.4057,1.7002,6.1038,,,,,,,,,,,,,,,,,
1.5098,1.4558,1.5215,35.421,7.0186,0.94438,0.62055,7.7508,236.11,119.87,1190.3,7.7859,1.7864,3.944,8.4224,1.7013,6.0731,,,,,,,,,,,,,,,,,
1.5142,1.4524,1.5239,35.539,7.0352,0.94661,0.62031,7.7506,236.18,121.2,1196.7,7.7987,1.7922,3.9481,8.4707,1.7045,6.0769,,,,,,,,,,,,,,,,,
1.5181,1.4564,1.5038,35.199,6.9675,0.93747,0.61423,7.7486,234.55,120.73,1197.1,7.7402,1.7972,3.9153,8.4227,1.6986,6.0925,,,,,,,,,,,,,,,,,
1.4915,1.4474,1.489,34.751999999999995,6.8824,0.92601,0.61126,7.7504,232.06,120.94,1202.4,7.6567,1.7728,3.8894,8.3387,1.7014,6.0865,,,,,,,,,,,,,,,,,
1.4947,1.4579,1.4906,34.943000000000005,6.8915,0.92713,0.61283,7.7501,233.22,120.65,1202.4,7.6567,1.7831,3.8998,8.3047,1.6983,6.14,,,,,,,,,,,,,,,,,
1.4916,1.459,1.4974,35.109,6.9234,0.93153,0.6151800000000001,7.7513,233.33,120.93,1200.9,7.6488,1.787,3.9048,8.3321,1.6991,6.1425,,,,,,,,,,,,,,,,,
1.4881,1.4553,1.4985,34.996,6.9257,0.93179,0.61675,7.7553,232.74,121.11,1199.1,7.6607,1.7821,3.8996,8.3321,1.6994,6.1835,,,,,,,,,,,,,,,,,
1.4994,1.4556,1.5079,35.385,6.9825,0.93941,0.61785,7.7499,234.91,121.07,1205.4,7.7015,1.7853,3.9189,8.4021,1.6993,6.2044,,,,,,,,,,,,,,,,,
1.496,1.463,1.5075,35.535,6.9977,0.94144,0.61759,7.7503,235.35,121.63,1206.0,7.7377,1.788,3.9519,8.4385,1.7047,6.251,,,,,,,,,,,,,,,,,
1.5035,1.4576,1.5006,35.244,6.9623,0.93668,0.6183,7.7491,234.42,122.5,1207.4,7.6644,1.7893,3.9282,8.3824,1.7117,6.1731,,,,,,,,,,,,,,,,,
