AUD,CAD,CHF,CZK,DKK,EUR,GBP,HKD,HUF,JPY,KRW,NOK,NZD,PLN,SEK,SGD,ZAR
1.3241,1.3039,0.98057,24.199,6.6662,0.8954200000000001,0.76263,7.7571,276.66,102.32,1114.3,8.316,1.3814,3.8893,8.5072,1.3607,14.375
1.33,1.31,0.9842799999999999,24.278000000000002,6.6863,0.89831,0.7618199999999999,7.7575,278.78,103.31,1117.2,8.3332,1.3792,3.9106,8.5482,1.3637,14.527999999999999
1.3279,1.3129,0.98493,24.246,6.6767,0.89718,0.75408,7.7573,278.17,103.71,1121.8,8.3483,1.3778,3.9158,8.5672,1.3635,14.67
1.3231,1.3082,0.97909,24.142,6.6473,0.8934200000000001,0.75279,7.7562,277.07,103.48,1115.8,8.324,1.3695,3.9233,8.5754,1.3576,14.524000000000001
1.3173,1.294,0.97929,24.221,6.6697,0.89638,0.74976,7.7552,277.28,103.3,1106.5,8.2877,1.3672,3.9029,8.5584,1.3567,14.353
1.3106,1.2909,0.97885,24.215,6.6686,0.8961399999999999,0.74859,7.7554,277.62,103.41,1105.7,8.2546,1.3626,3.8882,8.5456,1.3559,14.205
1.3026,1.2854,0.96921,24.046,6.6246,0.88992,0.74725,7.7552,274.67,101.66,1090.1,8.1822,1.3397,3.8432,8.4598,1.3459999999999999,14.027999999999999
1.2953,1.2877,0.96645,23.921,6.5889999999999995,0.8852700000000001,0.74858,7.7563,272.72,101.63,1089.7,8.14,1.3419,3.8158,8.4052,1.3457,13.904000000000002
1.3166,1.2957,0.97346,23.980999999999998,6.6053,0.8874700000000001,0.75043,7.7559,273.88,102.81,1104.2,8.2064,1.3577,3.8467,8.4327,1.3561,14.324000000000002
1.3299,1.3114,0.97408,24.073,6.6305,0.89079,0.75249,7.757999999999999,276.13,101.89,1115.5,8.2588,1.3674,3.8744,8.5148,1.3609,14.481
1.3282,1.3109,0.9713700000000001,24.025,6.6184,0.88913,0.75365,7.757999999999999,275.45,102.23,1123.3,8.208,1.365,3.8657,8.4805,1.3619999999999999,14.298
1.3391,1.3192,0.9756600000000001,24.089000000000002,6.6359,0.8914200000000001,0.75841,7.7588,276.3,102.84,1126.0,8.2678,1.3764,3.8706,8.4991,1.3663,14.332
1.3361,1.3178,0.97219,24.011999999999997,6.6166,0.8885700000000001,0.75705,7.7582,275.68,102.17,1126.6,8.2325,1.3721,3.8434,8.4859,1.3654,14.217
1.3316,1.3199,0.9746100000000001,24.073,6.6338,0.89079,0.75898,7.7587,275.38,101.86,1125.6,8.2509,1.3689,3.8453,8.5133,1.3645,14.135
1.3249,1.3152,0.98119,24.201999999999998,6.6729,0.89566,0.76579,7.7578,275.65,101.79,1119.7,8.2853,1.3674,3.8446,8.5704,1.3632,14.03
1.3244,1.3226,0.97845,24.160999999999998,6.6631,0.89413,0.77086,7.7569,276.39,101.87,1119.8,8.283999999999999,1.3609,3.8425,8.5625,1.3624,13.872
1.3152,1.3142,0.97605,24.235,6.6857,0.89686,0.76855,7.7553,276.73,100.89,1112.6,8.2796,1.3605,3.8489,8.5828,1.3585,13.712
1.3057,1.3012,0.96699,24.044,6.6331,0.88984,0.76459,7.7556,272.62,100.72,1101.9,8.104,1.3651,3.8131,8.5276,1.3544,13.487
1.3095,1.3042,0.9708399999999999,24.096999999999998,6.6481,0.89174,0.77078,7.7563,272.44,100.78,1102.0,8.1174,1.3764,3.8228,8.5447,1.3582,13.587
1.3098,1.3164,0.9683,23.993000000000002,6.6186,0.88794,0.77331,7.7555,272.17,100.44,1106.5,8.1085,1.3775,3.8221,8.5309,1.36,13.673
1.3067,1.3256,0.9697,24.086,6.64,0.8912700000000001,0.77017,7.7545,273.57,100.29,1098.7,8.1201,1.3715,3.8224,8.5751,1.3596,13.55
1.304,1.3211,0.97024,24.074,6.638,0.89087,0.768,7.7542,274.34,100.61,1097.4,8.0969,1.3772,3.8212,8.567,1.3604,13.585
1.3049,1.3085,0.96925,24.081999999999997,6.6414,0.8911899999999999,0.76765,7.7552,275.06,101.49,1100.8,8.0566,1.3769999999999998,3.8379,8.5748,1.3624,13.79
1.3132,1.3162,0.97446,24.21,6.6762,0.8959799999999999,0.77146,7.7544,277.56,101.33,1101.9,8.0517,1.3769999999999998,3.8699,8.6202,1.365,13.909
1.3028,1.3085,0.9717,24.049,6.6272,0.89,0.77713,7.7559,274.28,101.37,1101.1,7.9766,1.3754,3.821,8.5377,1.364,13.585
1.3049,1.3168,0.98101,24.21,6.6677,0.8959799999999999,0.7843399999999999,7.756,275.44,102.59,1109.4,7.9899,1.3733,3.847,8.6018,1.3699,13.604000000000001
1.3132,1.3216,0.9775200000000001,24.108,6.6379,0.8919799999999999,0.78633,7.7565,272.81,103.16,1115.2,8.0164,1.3926,3.8303,8.5862,1.3705,13.745
1.3198,1.3204,0.9782700000000001,24.158,6.6529,0.89405,0.78966,7.7572,272.75,103.71,1116.9,8.0409,1.3989,3.838,8.6115,1.3737,13.819
1.3192,1.3271,0.98259,24.256,6.6791,0.8976700000000001,0.81107,7.7582,272.76,103.63,1115.8,8.0799,1.3995,3.8432,8.6477,1.3752,13.880999999999998
1.3163,1.3253,0.98208,24.212,6.6675,0.8960600000000001,0.80708,7.7588,272.98,103.4,1111.6,8.1047,1.4021,3.8369999999999997,8.6575,1.3743,13.849
1.3249,1.3226,0.9872700000000001,24.389,6.7165,0.90261,0.81445,7.7604,274.78,103.71,1123.8,8.1591,1.4132,3.8552,8.783999999999999,1.3789,14.263
1.3206,1.3247,0.98966,24.524,6.7513,0.9074399999999999,0.8166100000000001,7.7581,277.72,103.9,1125.0,8.1933,1.4175,3.8996,8.831,1.3829,14.394
1.3231,1.3245,0.9878600000000001,24.48,6.7399,0.90596,0.81926,7.7584,277.66,103.72,1134.2,8.2232,1.4154,3.8974,8.8209,1.3839,14.296
1.3108,1.3166,0.9897299999999999,24.566999999999997,6.7622,0.9089299999999999,0.81722,7.7589,277.5,104.31,1132.6,8.2029,1.4096,3.9102,8.8228,1.3873,14.207
1.3131,1.3128,0.9889,24.581,6.7673,0.90959,0.82304,7.7591,279.18,104.11,1139.9,8.2149,1.4038,3.9368,8.8255,1.3889,14.238
1.3037,1.3083,0.9902700000000001,24.58,6.7686,0.9096700000000001,0.81475,7.7589,279.2,104.04,1126.4,8.1475,1.39,3.9283,8.8261,1.3865,14.046
1.3023,1.308,0.98861,24.612,6.7774,0.9108299999999999,0.81372,7.757999999999999,279.7,103.37,1123.9,8.1597,1.3874,3.9330000000000003,8.8332,1.3869999999999998,13.904000000000002
1.3036,1.3169,0.98834,24.609,6.7762,0.91075,0.8157399999999999,7.7578,280.09,103.61,1127.0,8.1626,1.383,3.9419,8.8379,1.3886,13.911
1.3107,1.3229,0.9944,24.822,6.8329,0.91861,0.8205,7.7583,283.21,103.77,1137.8,8.2251,1.3954,3.9731,8.9025,1.3944,14.032
1.3114,1.3357,0.9935700000000001,24.81,6.8308,0.91819,0.81733,7.7567,283.29,104.02,1133.3,8.2504,1.3969999999999998,3.9635,8.911,1.3919,13.88
1.3088,1.3317,0.99779,24.854,6.8421,0.91979,0.8186,7.7567,283.44,104.53,1131.9,8.266,1.3988,3.9589999999999996,8.9386,1.3919,13.834000000000001
1.3016,1.3366,0.9920399999999999,24.733,6.8087,0.91533,0.8189,7.7558,282.92,104.32,1135.8,8.2769,1.3955,3.9584,8.9124,1.3896,13.75
1.3123,1.3366,0.9918600000000001,24.73,6.8066,0.9151600000000001,0.81594,7.7552,283.0,104.69,1143.2,8.2235,1.3998,3.9619,8.9823,1.3921,13.857000000000001
1.3206,1.3389,0.99387,24.741,6.8103,0.91558,0.82316,7.7538,283.34,105.38,1145.4,8.281,1.4005,3.9651,9.0295,1.3943,13.880999999999998
1.3153,1.3398,0.98849,24.688000000000002,6.7964,0.91358,0.8226700000000001,7.7551,281.78,105.03,1146.4,8.2537,1.399,3.9538,9.0124,1.3933,13.565
1.3008,1.3361,0.9816799999999999,24.511999999999997,6.7473,0.9070299999999999,0.8179,7.7555,279.12,104.83,1141.4,8.1826,1.3916,3.9079,8.9615,1.3885,13.495999999999999
1.305,1.3375,0.97224,24.355,6.7053,0.9013100000000001,0.81174,7.7548,277.66,103.31,1143.3,8.177999999999999,1.3729,3.8986,8.9148,1.3844,13.377
1.3046,1.3389,0.97496,24.421999999999997,6.7251,0.9038299999999999,0.80132,7.7558,278.27,103.26,1144.3,8.1865,1.3679,3.9033,8.9541,1.3858,13.462
1.3015,1.3433,0.97124,24.359,6.707999999999999,0.9014700000000001,0.8005800000000001,7.7557,275.97,102.98,1144.3,8.2122,1.3674,3.8933,8.9813,1.3844,13.533
1.3015,1.3391,0.9753200000000001,24.427,6.7265,0.904,0.80492,7.7563,276.67,104.32,1143.3,8.2295,1.3665,3.9144,9.0249,1.39,13.455
1.2984,1.3368,0.97645,24.48,6.742000000000001,0.90596,0.8071,7.7548,276.83,104.78,1135.9,8.2219,1.3644,3.9213,8.9858,1.3904,13.347000000000001
