Date,LTL,YTD
2000-08-03,4.0013,3.9997
2000-08-04,4.0066,4.0023
2000-08-07,4.0027,4.0009
2000-08-08,4.0008,4.0009
2000-08-09,4.0002,4.002
2000-08-10,4.0013,4.0013
2000-08-11,4.004,4.0037
2000-08-14,4.0004,4.0012
2000-08-15,4.0012,4.0012
2000-08-16,4.0038,4.0026
2000-08-17,4.0024,4.0
2000-08-18,3.9928,3.9996
2000-08-21,4.0002,4.0012
2000-08-22,4.0013,4.0012
2000-08-23,3.9998,3.945
2000-08-24,3.9988,4.0013
2000-08-25,3.9977,4.0027
2000-08-28,3.9994,3.9993
2000-08-29,4.0012,3.9993
2000-08-30,4.0026,4.0019
2000-08-31,4.0072,4.0011
2000-09-01,4.0046,3.9994
2000-09-04,4.0018,4.0002
2000-09-05,4.0021,4.0002
2000-09-06,4.0003,3.9998
2000-09-07,4.0029,4.0001
2000-09-08,4.0,4.0018
2000-09-11,4.0009,3.9996
2000-09-12,3.9942,3.9996
2000-09-13,4.0014,4.0002
2000-09-14,3.9982,4.0006
2000-09-15,4.0104,3.9998
2000-09-18,4.0044,4.0013
2000-09-19,4.0022,4.0013
2000-09-20,4.0026,3.9996
2000-09-21,3.9975,4.0002
2000-09-22,3.9952,4.0005
2000-09-25,3.9992,4.0004
2000-09-26,4.0029,4.0004
2000-09-27,3.999,3.9971
2000-09-28,4.0012,3.9998
2000-09-29,3.9991,4.0003
2000-10-02,3.9989,3.9992
2000-10-03,4.0015,3.9992
2000-10-04,4.0011,3.9987
2000-10-05,4.0009,4.0021
2000-10-06,4.0009,4.0014
2000-10-09,4.0008,3.999
2000-10-10,4.0008,3.999
2000-10-11,4.0013,4.0003
2000-10-12,4.0008,3.9995
2000-10-13,4.0008,3.9894
2000-10-16,4.0008,4.0019
2000-10-17,4.0005,4.0019
2000-10-18,4.0006,4.0024
2000-10-19,4.0,4.0016
2000-10-20,4.0005,4.0019
2000-10-23,4.0013,4.0006
2000-10-24,3.9998,4.0006
2000-10-25,4.0017,4.0023
2000-10-26,4.0006,4.0011
2000-10-27,4.0006,4.0021
2000-10-30,4.0014,4.0001
2000-10-31,4.0013,4.0001
2000-11-01,4.0014,4.0031
2000-11-02,4.0007,3.9991
2000-11-03,4.0023,4.0054
2000-11-06,4.0016,4.001
2000-11-07,4.0023,4.001
2000-11-08,4.0026,4.0004
2000-11-09,4.0011,4.0027
2000-11-10,4.0022,4.0029
2000-11-13,4.001,4.0032
2000-11-14,4.0006,4.0032
2000-11-15,3.9993,4.0008
2000-11-16,3.9997,3.9994
2000-11-17,3.9989,4.0005
2000-11-20,3.9989,3.9953
2000-11-21,3.9988,3.9953
2000-11-22,4.0007,4.0113
2000-11-23,4.0007,3.9987
2000-11-24,4.0009,4.0006
2000-11-27,4.0013,4.0017
2000-11-28,4.001,4.0017
2000-11-29,4.0013,4.0036
2000-11-30,4.001,4.0108
2000-12-01,3.999,4.0047
2000-12-04,4.0013,4.0069
2000-12-05,3.999,4.0069
2000-12-06,3.999,4.0059
2000-12-07,4.0015,3.9964
2000-12-08,3.999,3.9994
2000-12-11,4.0004,3.9966
2000-12-12,3.999,3.9966
2000-12-13,3.999,4.0025
2000-12-14,3.999,3.9994
2000-12-15,4.0018,4.0001
2000-12-18,3.999,4.0018
2000-12-19,3.9989,4.0018
2000-12-20,3.9988,4.021
2000-12-21,3.9987,3.996
2000-12-22,3.999,4.0062
2000-12-25,3.9991,4.0031
2000-12-26,3.9991,4.0031
2000-12-27,3.9991,3.9996
2000-12-28,3.999,3.9991
2000-12-29,3.999,4.0123
2001-01-01,4.001,3.9985
2001-01-02,4.001,3.9985
2001-01-03,4.0015,3.9985
2001-01-04,4.001,4.0093
2001-01-05,4.0011,4.004
2001-01-08,4.001,4.0041
2001-01-09,4.0009,4.0041
2001-01-10,3.999,4.0036
2001-01-11,4.001,3.9964
2001-01-12,4.0011,4.002
2001-01-15,4.001,4.0034
2001-01-16,4.0007,4.0034
2001-01-17,4.0012,4.0014
2001-01-18,4.001,4.0069
2001-01-19,4.001,3.9981
2001-01-22,4.0007,4.0024
2001-01-23,4.0011,4.0024
2001-01-24,4.0011,4.0011
2001-01-25,4.0011,4.0072
2001-01-26,4.0011,4.0033
2001-01-29,4.0009,3.9965
2001-01-30,4.001,3.9965
2001-01-31,4.001,4.0011
2001-02-01,4.0011,4.0025
2001-02-02,4.001,4.0005
2001-02-05,4.001,4.0011
2001-02-06,4.001,4.0011
2001-02-07,4.0011,4.0071
2001-02-08,4.001,4.0043
2001-02-09,3.999,3.9998
2001-02-12,3.999,4.0004
2001-02-13,3.9988,4.0004
2001-02-14,4.0011,4.0013
2001-02-15,3.9988,3.999
2001-02-16,3.999,4.0002
2001-02-19,4.0014,4.0044
2001-02-20,3.9995,4.0044
2001-02-21,3.9994,4.0049
2001-02-22,3.9999,4.0028
2001-02-23,4.001,4.0005
2001-02-26,4.001,4.0061
2001-02-27,4.001,4.0061
2001-02-28,4.001,4.0015
2001-03-01,4.0008,3.9989
2001-03-02,4.001,4.0003
2001-03-05,4.0009,4.0023
2001-03-06,4.0004,4.001
2001-03-07,4.0006,4.0048
2001-03-08,4.001,4.0015
2001-03-09,4.001,4.0003
2001-03-12,4.001,4.0011
2001-03-13,4.001,3.9983
2001-03-14,4.0,3.9969
2001-03-15,4.001,3.9992
2001-03-16,4.001,3.998
2001-03-19,4.0008,4.0082
2001-03-20,4.001,4.0
2001-03-21,4.0003,4.0002
2001-03-22,3.999,4.002
2001-03-23,3.999,4.0004
2001-03-26,3.999,3.9858
2001-03-27,3.999,4.0028
2001-03-28,3.999,4.002
2001-03-29,3.999,4.0019
2001-03-30,3.9991,4.0017
2001-04-02,4.0005,3.998
2001-04-03,4.001,3.9995
2001-04-04,4.0009,3.9937
2001-04-05,4.0009,4.0038
2001-04-06,4.001,3.9972
2001-04-09,3.9991,3.9978
2001-04-10,3.999,4.0047
2001-04-11,3.999,3.9968
2001-04-12,3.999,4.0028
2001-04-13,3.999,3.9995
2001-04-16,3.999,4.0035
2001-04-17,3.999,4.0022
2001-04-18,3.999,4.0083
2001-04-19,3.9991,4.002
2001-04-20,4.0,4.0106
