Date,LVL,YTD
2000-03-31,0.59362,0.59135
2000-04-03,0.59154,0.59051
2000-04-04,0.59138,0.59051
2000-04-05,0.59363,0.59088
2000-04-06,0.59072,0.59059
2000-04-07,0.59106,0.59109
2000-04-10,0.59212,0.58957
2000-04-11,0.59114,0.58957
2000-04-12,0.59297,0.59102
2000-04-13,0.59231,0.58958
2000-04-14,0.59316,0.59164
2000-04-17,0.59298,0.58928
2000-04-18,0.59104,0.58928
2000-04-19,0.59208,0.59027
2000-04-20,0.59338,0.58941
2000-04-21,0.59407,0.58886
2000-04-24,0.59407,0.59087
2000-04-25,0.59407,0.59087
2000-04-26,0.59536,0.59065
2000-04-27,0.59774,0.59054
2000-04-28,0.59915,0.59125
2000-05-01,0.60011,0.591
2000-05-02,0.60011,0.591
2000-05-03,0.60169,0.59196
2000-05-04,0.60653,0.59297
2000-05-05,0.6068,0.59362
2000-05-08,0.60563,0.58931
2000-05-09,0.60634,0.58931
2000-05-10,0.60593,0.58975
2000-05-11,0.60503,0.59022
2000-05-12,0.60745,0.59057
2000-05-15,0.60771,0.59028
2000-05-16,0.60599,0.59028
2000-05-17,0.60838,0.59058
2000-05-18,0.61107,0.59073
2000-05-19,0.61071,0.59065
2000-05-22,0.61003,0.59366
2000-05-23,0.60744,0.59366
2000-05-24,0.60608,0.59412
2000-05-25,0.60761,0.59433
2000-05-26,0.61096,0.59452
2000-05-29,0.60669,0.59582
2000-05-30,0.60473,0.59582
2000-05-31,0.60241,0.59366
2000-06-01,0.60368,0.5944
2000-06-02,0.60461,0.59431
2000-06-05,0.60438,0.59622
2000-06-06,0.60013,0.59622
2000-06-07,0.59979,0.59719
2000-06-08,0.59786,0.59713
2000-06-09,0.59537,0.59721
2000-06-12,0.60074,0.59462
2000-06-13,0.59861,0.59462
2000-06-14,0.59752,0.59376
2000-06-15,0.59734,0.59605
2000-06-16,0.59796,0.59767
2000-06-19,0.59718,0.59903
2000-06-20,0.59595,0.59903
2000-06-21,0.59698,0.59732
2000-06-22,0.59757,0.60054
2000-06-23,0.59862,0.60089
2000-06-26,0.59758,0.60227
2000-06-27,0.60062,0.60227
2000-06-28,0.5993,0.59877
2000-06-29,0.59841,0.60002
2000-06-30,0.59638,0.60044
2000-07-03,0.59607,0.60181
2000-07-04,0.59876,0.60181
2000-07-05,0.59914,0.60346
2000-07-06,0.59883,0.60409
2000-07-07,0.59987,0.60464
2000-07-10,0.60002,0.60725
2000-07-11,0.59782,0.60725
2000-07-12,0.59798,0.60692
2000-07-13,0.59933,0.60846
2000-07-14,0.60124,0.60748
2000-07-17,0.60242,0.60602
2000-07-18,0.60372,0.60602
2000-07-19,0.60184,0.60655
2000-07-20,0.60373,0.60723
2000-07-21,0.60347,0.60096
2000-07-24,0.60109,0.59901
2000-07-25,0.60223,0.59901
2000-07-26,0.60234,0.59775
2000-07-27,0.60298,0.59376
2000-07-28,0.60241,0.59518
2000-07-31,0.60392,0.59223
2000-08-01,0.60565,0.59223
2000-08-02,0.60514,0.59117
2000-08-03,0.60742,0.59062
2000-08-04,0.60899,0.59286
2000-08-07,0.60791,0.58947
2000-08-08,0.60667,0.58947
2000-08-09,0.60672,0.59069
2000-08-10,0.60704,0.59206
2000-08-11,0.60724,0.59104
2000-08-14,0.606,0.59325
2000-08-15,0.60803,0.59325
2000-08-16,0.60682,0.59201
2000-08-17,0.60681,0.59282
2000-08-18,0.60492,0.59352
2000-08-21,0.60677,0.5918
2000-08-22,0.608,0.5918
2000-08-23,0.60901,0.58348
2000-08-24,0.60888,0.58967
2000-08-25,0.60786,0.59237
2000-08-28,0.60825,0.5929
2000-08-29,0.60686,0.5929
2000-08-30,0.60837,0.59349
2000-08-31,0.61006,0.59288
2000-09-01,0.61026,0.58839
2000-09-04,0.61009,0.58685
2000-09-05,0.60778,0.58685
2000-09-06,0.61017,0.58725
2000-09-07,0.61148,0.58882
2000-09-08,0.61365,0.59044
2000-09-11,0.61328,0.58695
2000-09-12,0.61563,0.58695
2000-09-13,0.61737,0.58783
2000-09-14,0.6174,0.58838
2000-09-15,0.6182,0.58879
2000-09-18,0.61997,0.58581
2000-09-19,0.62057,0.58581
2000-09-20,0.62042,0.58584
2000-09-21,0.61975,0.58716
2000-09-22,0.61896,0.585
2000-09-25,0.61327,0.58399
2000-09-26,0.61642,0.58399
2000-09-27,0.61585,0.58343
2000-09-28,0.61505,0.58527
2000-09-29,0.61481,0.58466
2000-10-02,0.61597,0.57918
2000-10-03,0.61634,0.57918
2000-10-04,0.61782,0.57802
2000-10-05,0.61913,0.57851
2000-10-06,0.61905,0.58076
2000-10-09,0.62013,0.58011
2000-10-10,0.62036,0.58011
2000-10-11,0.61828,0.58121
2000-10-12,0.61858,0.58094
2000-10-13,0.61945,0.5793
2000-10-16,0.6191,0.57734
2000-10-17,0.62296,0.57734
2000-10-18,0.62288,0.57282
2000-10-19,0.62264,0.57223
2000-10-20,0.62478,0.57321
2000-10-23,0.62447,0.57433
2000-10-24,0.62481,0.57433
2000-10-25,0.62449,0.57436
2000-10-26,0.62598,0.57624
2000-10-27,0.62906,0.57914
2000-10-30,0.63095,0.58202
2000-10-31,0.62709,0.58202
2000-11-01,0.62897,0.58481
2000-11-02,0.62509,0.58116
