Date,CYP,YTD
2002-01-10,0.64552,0.61341
2002-01-11,0.6465,0.6128
2002-01-14,0.6457,0.6059
2002-01-15,0.64535,0.60471
2002-01-16,0.64571,0.61222
2002-01-17,0.65351,0.62018
2002-01-18,0.65352,0.61462
2002-01-21,0.6543,0.61403
2002-01-22,0.65158,0.61454
2002-01-23,0.65232,0.6221
2002-01-24,0.65041,0.61447
2002-01-25,0.65701,0.62194
2002-01-28,0.66506,0.632
2002-01-29,0.67188,0.62676
2002-01-30,0.6683,0.62928
2002-01-31,0.66729,0.62909
2002-02-01,0.66744,0.6228
2002-02-04,0.66783,0.61589
2002-02-05,0.66675,0.61604
2002-02-06,0.66341,0.61486
2002-02-07,0.6644,0.62169
2002-02-08,0.6644,0.62131
2002-02-11,0.65881,0.62838
2002-02-12,0.65481,0.62806
2002-02-13,0.65791,0.62397
2002-02-14,0.65999,0.62492
2002-02-15,0.66295,0.63134
2002-02-18,0.66196,0.63741
2002-02-19,0.66132,0.63559
2002-02-20,0.66322,0.62872
2002-02-21,0.65969,0.6386
2002-02-22,0.66303,0.63318
2002-02-25,0.65931,0.63959
2002-02-26,0.66105,0.63898
2002-02-27,0.66375,0.63617
2002-02-28,0.66544,0.63207
2002-03-01,0.66506,0.62634
2002-03-04,0.66283,0.62503
2002-03-05,0.66453,0.61875
2002-03-06,0.66173,0.6225
2002-03-07,0.65926,0.62425
2002-03-08,0.65565,0.62226
2002-03-11,0.65338,0.62193
2002-03-12,0.65757,0.61891
2002-03-13,0.65771,0.6245
2002-03-14,0.65839,0.62925
2002-03-15,0.65361,0.63041
2002-03-18,0.65003,0.63857
2002-03-19,0.65367,0.64685
2002-03-20,0.65244,0.64385
2002-03-21,0.65295,0.64195
2002-03-22,0.65242,0.64376
2002-03-25,0.65406,0.65074
2002-03-26,0.65651,0.64825
2002-03-27,0.65885,0.64739
2002-03-28,0.65821,0.64641
2002-03-29,0.65975,0.65313
2002-04-01,0.65975,0.6548
2002-04-02,0.65975,0.65542
2002-04-03,0.6551,0.65976
2002-04-04,0.65406,0.65415
2002-04-05,0.65295,0.64058
2002-04-08,0.65529,0.64157
2002-04-09,0.65589,0.64747
2002-04-10,0.65686,0.64194
2002-04-11,0.6544,0.64707
2002-04-12,0.65481,0.65449
2002-04-15,0.65403,0.65394
2002-04-16,0.65407,0.65394
2002-04-17,0.65399,0.65394
2002-04-18,0.64832,0.65788
2002-04-19,0.64712,0.65908
2002-04-22,0.64803,0.65531
2002-04-23,0.64855,0.6435
2002-04-24,0.64928,0.64279
2002-04-25,0.64816,0.64471
2002-04-26,0.64296,0.64641
2002-04-29,0.64352,0.64185
2002-04-30,0.63938,0.64114
2002-05-01,0.64217,0.65187
2002-05-02,0.64217,0.65187
